paper,term,text,link
Guardian,Military,Biden to lay out plans for US troop withdrawal from Afghanistan – live ,https://t.co/weeFWgrl3t
Guardian,Military,Nato tells Russia to stop military buildup around Ukraine ,https://t.co/fZ06xCCQXU
Guardian,Military,Doctors under fire as Myanmar military targets efforts to aid injured protesters ,https://t.co/2XTyPCiJCx
Guardian,Military,Kremlin defends Russian military buildup on Ukraine border ,https://t.co/2IaeiXTqoW
Guardian,Military,US increasingly concerned by Russian military threat to Ukraine ,https://t.co/A7UBdWSex9
Guardian,Military,Myanmar celebrity model arrested as military targets public figures ,https://t.co/nb4vJ2ud9X
DailyMailUK,Military,Prince Andrew demands to wear admiral's uniform for Philip's funeral ,https://t.co/TNQrhrNe42 
DailyMailUK,Military,Prince Andrew wants to wear full military attire for Prince Philip's funeral ,https://t.co/kkkHlU0Op1
DailyMailUK,Military,Duke of Sussex is expected to attend the service in a suit after being stripped of military roles following Megxit ,https://t.co/HUN4x7OVSO
DailyMailUK,Military,The Duke and his MANY medals: How Prince Philip was awarded for wartime heroics during his distinguished military career ,https://t.co/kJb0BbuMiY
DailyMailUK,Military,How war hero Prince Philip was honoured for saving battleship from Nazi bombers during action-packed military career ,https://t.co/Ncqy0n9qWp
DailyMailUK,Military,Duke of Edinburgh will have a royal ceremonial funeral in Windsor with a military procession ,https://t.co/eBGaPfLoh2
FT,Military,Ukraine accuses Russia of blocking talks to ease military tensions ,https://t.co/lSRZ4ouoNe
TheSun,Military,Myanmar ambassador claims to be locked out of London embassy after condemning military coup ,https://t.co/yl8MLUNkQy
Telegraph,Military,"♦️ Exploitation of economic grievances and existing corruption has allowed the sect to rapidly expand.
 
The sect have steadily grown their arsenal of weapons through raids on police and military.
 
🌍 The insurgents have also expanded their international links ",https://t.co/gHTK1912pG
Telegraph,Military,"'After inheriting a campaign which has cost America some $2 trillion and the lives of around 2,400 US troops, the long-time critic of the military engagement has decided enough is enough' 

 ",https://t.co/sE75oonyAt
Telegraph,Military,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Military veterans who are in financial hardship would receive an extra £10 a week in state benefits under proposals being put forward by the Scottish Tories ,https://t.co/ypTAECr5Rb
Telegraph,Military,"🔓 This article is currently free to read

The royal household and the military are working round the clock to ensure everything is ready for the Duke of Edinburgh's funeral ",https://t.co/5mHLZeny6g
Telegraph,Military,"🔓 This article is currently free to read

The royal household and the military are working round the clock to ensure everything is ready for the Duke of Edinburgh's funeral

",https://t.co/CAEXJT8XFd
Telegraph,Military,"🎖️ As the Duke was stripped of his honorary military titles, including his prized role as Captain General of the Royal Marines, it is thought he will have to wear a suit ",https://t.co/SxVpzTjlXM
Telegraph,Military,"🌏 The British carrier strike group could encounter a hostile reception from China during its deployment, as Beijing vies for economic and military dominance of the region ",https://t.co/2SqPw3uW0G
Telegraph,Military,"Even stripped of his military titles, Prince Harry will be determined to continue the inspiring work of his grandfather ",https://t.co/4CgFcGw5zG
Telegraph,Military,"The Duke of Edinburgh's funeral ceremony will pay tribute to his long military service.

Detachments from the Royal Navy and other units connected to him taking part
",https://t.co/pTNcUvSVKx
Guardian,Climate,Climate crisis: Boris Johnson ‘too cosy’ with vested interests to take serious action ,https://t.co/9hmh9hkO3i
Guardian,Climate,US climate research outpost abandoned over fears it will be devoured by sea ,https://t.co/hD3kgNDOCw
Guardian,Climate,"‘I’m hopeful’: Jerome Foster, the 18-year-old helping to craft US climate policy ",https://t.co/5ZR3ZGMa2q
Guardian,Climate,"Endangered US rivers at grave risk from dams, mining and global heating ",https://t.co/BXPIuTGCI7
Guardian,Climate,France to ban some domestic flights where train available ,https://t.co/R3z7v8EY1b
Guardian,Climate,Boris Johnson told to get grip of UK climate strategy before Cop26 ,https://t.co/SqjQsRdgNQ
Guardian,Climate,TV tonight: investigating the climate crisis with Ade Adepitan ,https://t.co/7bMdNAdNA4
Guardian,Climate,Greta Thunberg says she will not attend Cop26 climate summit ,https://t.co/U64fm4TVjj
Guardian,Climate,The rice of the sea: how a tiny grain could change the way humanity eats ,https://t.co/jaX9j8WxnC
Guardian,Climate,"Banks should invest in nature to fight climate crisis, says Prince William ",https://t.co/Z1my3iy5RO
TheSun,Climate,New 'Pizzly Bear' super-hybrid created as polar bears and grizzlies mate to survive climate change ,https://t.co/PI5cijJfAn
Telegraph,Climate,"Sir David Attenborough and Greta Thunberg discuss the climate crisis. ⁠
⁠
The Swedish environmental activist has said the only way forward in the fight against climate change is to ""treat the crisis like a crisis.""⁠
⁠
Read more: ",https://t.co/fB0bknvjHt
Telegraph,Climate,"""We cannot recover sustainably from coronavirus, eradicate global poverty, achieve net-zero emissions or adapt to climate change without investing in nature"" ",https://t.co/SJFJT1M7Bp
Guardian,Politics,Shirley Williams was an inspiration to all liberals | Letters ,https://t.co/FSCspS9CJi
Guardian,Politics,Labour needs a new agenda – not a return to Corbynism | Letters ,https://t.co/ul32XQ1SBA
Guardian,Politics,Arlene Foster tells court she was humiliated by tweet alleging affair ,https://t.co/Bnc1zr98ck
Guardian,Politics,Greensill: Labour bid to establish wider inquiry into lobbying fails – live ,https://t.co/zN7diLydOQ
Guardian,Politics,Tories grapple with Greensill scandal: Politics Weekly podcast ,https://t.co/ATXc8w9d5i
Guardian,Politics,"Greensill scandal is tip of the iceberg of Tory sleaze, says Keir Starmer – video ",https://t.co/Fbik3XU1k4
Guardian,Politics,Scottish Greens ‘willing to have conversation’ on coalition with SNP ,https://t.co/wE8clf7KLs
Guardian,Politics,Greensill: Keir Starmer says there is ‘open door’ between Boris Johnson’s government and lobbyists – PMQs live ,https://t.co/7piXA0YSX7
Guardian,Politics,Greensill row: Boris Johnson to face Keir Starmer at PMQs as Labour calls for tighter rules on lobbying – live ,https://t.co/dEfbSZ3dSV
FT,Politics,German politics is greening in unpredictable ways ,https://t.co/s1KTXT4RVS  | opinion
TheSun,Politics,Boris Johnson vows Cameron Greensill lobbying investigation will get 'maximum possible access' to find out what happened ,https://t.co/dYfEauaKtX
TheSun,Politics,"New 'shop out to help out' £10 off voucher scheme would boost high street as shops reopen, experts say ",https://t.co/qocFqryyo4
TheSun,Politics,"BBC receives record 100,000 complaints about coverage of Prince Philip's death  ",https://t.co/kHARoLbGvm
TheSun,Politics,Boris Johnson says lockdown NOT vaccine rollout has slashed deaths as he warns nation cases WILL rise again  ,https://t.co/qzbLoBfR1a
TheSun,Politics,Boris warns nation cases WILL rise again  ,https://t.co/3d7VTgS45X 
TheSun,Politics,Baroness Shirley Williams has died  ,https://t.co/UVRMWZe3DO 
Telegraph,Politics,💉 Scottish Tory leader says First Minister – due to receive first dose on Thursday – would have faced longer wait under bloc's system ,https://t.co/Vf1pqCyTii
Telegraph,Politics,"🔴 LIVE: David Cameron hung out to dry but Tories close ranks on Greensill inquiry

Follow all the latest updates on our politics liveblog here 👇
 ",https://t.co/DnWb0TbVOG
Telegraph,Politics,"🇺🇸 Expert insight and exclusive analysis on American politics and news, written by our expert US team
 
📩Click below to sign up to the USA Newsletter
",https://t.co/o4uXXuyEpU
Telegraph,Politics,"🔴 LIVE: Civil servants face hunt for those with second jobs in wake of Greensill scandal

Follow all the latest updates on our politics liveblog here 👇
",https://t.co/O5IhFoS24U
Telegraph,Politics,"On this episode of Chopper's Politics presented by @christopherhope

'Passports for pints, and the impossible job'

Sir @AnthonySeldon, biographer of many Prime Ministers, answers the question ""how will history judge Boris Johnson""

Listen here 👇
 ",https://t.co/oZCQ2GYP1O 
Telegraph,Politics,Europeans suspected of committing crimes in the UK can potentially avoid justice now if they flee to the Continent ,https://t.co/l8F52xa8gC
Telegraph,Politics,Bill Crothers was head of Whitehall procurement in David Cameron's government when he took the role ,https://t.co/LFZam2gzkx
Telegraph,Politics,"🏴󠁧󠁢󠁳󠁣󠁴󠁿 Nicola Sturgeon has been accused of ""short-changing"" Scotland's NHS after an impartial analysis found that health spending in England has increased more than three times faster over the past decade 
",https://t.co/iUm10fDVrM
Guardian,Brexit,Belfast riots aren't all about Brexit - but it is harming political reconciliation | Matthew O'Toole ,https://t.co/l8Hsrs988L
Guardian,Brexit,Bouncing back? UK businesses’ views mixed as Covid lockdown eases ,https://t.co/yP9iJkJNyZ
Guardian,Brexit,UK trade recovering but picture is clouded by Covid and Brexit | Larry Elliott ,https://t.co/Y9Er8Y4A32
Guardian,Brexit,UK economy returns to growth despite Covid restrictions ,https://t.co/i6VeOjHpeK
Guardian,Brexit,UK and EU in ‘technical talks’ on Brexit checks in Northern Ireland ,https://t.co/zkmSclThQy
Guardian,Brexit,The consequences of Boris Johnson’s careless Brexit are playing out in Belfast | Jonathan Freedland ,https://t.co/fiHYttjAbX
Guardian,Brexit,Northern Ireland unrest is the result of a reckless Brexit deal | Letter ,https://t.co/KP7bXPRL5Z
DailyMailUK,Brexit,Inventor Sir James Dyson says Brexit allowed Oxford scientists to develop vaccine in record time ,https://t.co/DvXfyHNZh8
DailyMailUK,Brexit,Nearly two-thirds of Brits believe the success of UK's vaccine roll-out has been down to Brexit ,https://t.co/RMEG8Bgf3y
FT,Brexit,"Brexit trading laws contributed to Northern Ireland unrest, Lewis says ",https://t.co/5kZ7NUBlP6
FT,Brexit,How French companies are also being hit hard by Brexit ,https://t.co/llV7epRTn4
FT,Brexit,Brexit brings pain for UK vintage watch dealers ,https://t.co/vphQiZaTgh
FT,Brexit,Brexit bites: Britons who own homes in the EU wrangle with red tape ,https://t.co/JlKK4YbIib
Telegraph,Brexit,"🔴 Lord Frost will travel to Brussels on Thursday to discuss post-Brexit trade tensions in Northern Ireland, as senior DUP MPs expressed fears of further rioting unless the issue was dealt with ",https://t.co/Uh2fNCAZLR
Telegraph,Brexit,"Lord Caine said that while Brexit tensions were a factor, loyalist figures and paramilitary groups were stoking the violence ",https://t.co/xRXjDVdQl8
Telegraph,Brexit,"Some unionists have blamed the violence on Boris Johnson's Brexit ""dishonesty"" ",https://t.co/b3RIcIBAQB
Telegraph,Brexit,"""Unless a settlement is reached, Britain faces two devastating scenarios: either the Union becomes the price of Brexit, or Brexit becomes the price of the Union"" | Writes @Sherelle_E_J ",https://t.co/1yWaANRXrQ
Telegraph,Brexit,Jamie Dimon repeats threats to shift bankers out of London if they serve clients in Europe ,https://t.co/vMpAj7xXRw
Guardian,Boris,Tories close ranks to block broader inquiry into Greensill scandal ,https://t.co/dUT84EZmzi
Guardian,Boris,Football Index collapse: MPs and peers urge Johnson to hold public inquiry ,https://t.co/CPCpRAjrPk
Guardian,Boris,Boris Johnson does not rule out more officials having Greensill links ,https://t.co/r5m5AVDiss
Guardian,Boris,Greensill row: Labour calls for tighter rules on lobbying – UK politics live ,https://t.co/XmCNp0VWK5
Guardian,Boris,Steve Bell on inquiry into David Cameron and Greensill scandal – cartoon ,https://t.co/rLBP8pW7YC
Guardian,Boris,Boris Johnson: easing lockdown will increase Covid infections ,https://t.co/IK0XYX9qlQ
DailyMailUK,Boris,Boris Johnson urges members of the public to 'tick off' anyone who litters ,https://t.co/tfz6G1IkTQ
DailyMailUK,Boris,Tory MPs slate 'unseemly' David Cameron for 'tarnishing us all' ,https://t.co/PckvrsXQ7U
DailyMailUK,Boris,"Boris Johnson shortens his planned trip to India later this month to just ONE DAY after spike in coronavirus cases 
",https://t.co/RnLX8vRfDr
DailyMailUK,Boris,Boris admits 'boundaries' might have been breached and vows to be 'tough' on lobbying ,https://t.co/dSvZTBjqMv
DailyMailUK,Boris,Boris Johnson's close aide Lord Udny-Lister 'discussed six-figure second job with lobbying firm with clients in the region' ,https://t.co/n8ipNyve7T
DailyMailUK,Boris,Downing Street slaps down Nicola Sturgeon after she goads Boris ,https://t.co/F0syUtajC1
DailyMailUK,Boris,Boris Johnson gives 'heartfelt thanks of the nation' for Prince Philip and his 'unfailing dedication' ,https://t.co/a0J9YC0PRH
DailyMailUK,Boris,Boris 'is getting his hair cut' before leading MPs in seven hours of tributes to Prince Philip today ,https://t.co/dambWJKhHP
DailyMailUK,Boris,"DOMINIC LAWSON: Belfast riots, Tory cynicism and Boris Johnson's border betrayal ",https://t.co/OOdZFVLrMY
TheSun,Boris,MP asks Boris Johnson a question in sign language in protest over the lack of a BSL interpreter during briefings #PMQs ,https://t.co/gyUjps4Yqf
