paper,term,text,link
Guardian,Military,Brazil: calls grow for removal of 'coup-mongering' Bolsonaro as crisis builds ,https://t.co/UGWBZCCkB8
Guardian,Military,US military account's gibberish tweet prompts viral mystery ,https://t.co/pxrq2Yqj80
Guardian,Military,Brazil on edge as three military chiefs resign after Bolsonaro fires defense minister ,https://t.co/Fa55LLYc7s
Guardian,Military,"Myanmar military a 'terrorist group' that should face international court, advisory council says ",https://t.co/A79j2sWkcv
Guardian,Military,Funeral held for 13-year-old boy shot by military in Myanmar – video ,https://t.co/wajXujJzka
Guardian,Military,Fear turns to fury in Myanmar as children shot by military ,https://t.co/sJ8wRQoKJQ
TheSun,Military,Incredible 23-bedroom military fort with helipad and saunas on market at £4.25m ,https://t.co/EMDmjRBHKN
Telegraph,Military,"As villagers from Myanmar's Karen State fled homes to escape violence, Myanmar's senior military officers celebrated the country’s Armed Forces Day with a lavish party

📸Reuters/Karen Teacher

Read more 👇
",https://t.co/MaFwUIJdQe 
Telegraph,Military,🔴 Special report: Britain's defence review identified two key adversaries - China and Russia. But both present very different challenges ,https://t.co/KcNWiAsdKl
Guardian,Climate,The week in audio: Laura Barton's Notes on Music; The Crisis – review ,https://t.co/MjCfR5dPyw
Guardian,Climate,China sandstorms highlight threat of climate crisis ,https://t.co/6kiAeQ7bOz
Guardian,Climate,New York's outgoing climate tsar hopes Biden can help save city from sea rise ,https://t.co/dzI3kzia1O
Guardian,Climate,"There's another pandemic under our noses, and it kills 8.7m people a year | Rebecca Solnit ",https://t.co/Vq91Adrruz
Guardian,Climate,Climate-concerned gardeners demand UK ban on peat compost ,https://t.co/K0pVnRru0M
Guardian,Climate,"Rapid global heating is hurting farm productivity, study finds ",https://t.co/m61OKgJjew
Guardian,Climate,Biden’s $2tn infrastructure plan aims to ‘finally address climate crisis as a nation' ,https://t.co/Lc5cAOXEyJ
Guardian,Climate,Biden to propose infrastructure plan to create jobs and combat climate change – live ,https://t.co/6CDinXIu8D
Guardian,Climate,Elite minority of frequent flyers 'cause most of aviation's climate damage' ,https://t.co/rZzxWUzKfN
DailyMailUK,Climate,World climate summit in Britain may go virtual ,https://t.co/KCBjgIALoB
DailyMailUK,Climate,World climate summit in Britain may go virtual if countries struggle to vaccinate citizens and new Covid wave breaks out ,https://t.co/iyeXVDBDax
FT,Climate,Gardening/climate change: for peat’s sake ,https://t.co/M1wYDKc5QV  | opinion
FT,Climate,COP26 climate talks: what will success look like? ,https://t.co/mQdn0hStex
FT,Climate,What can central bankers do about climate change? ,https://t.co/G21mzarWlH
Telegraph,Climate,"“It is killing people who are fit and healthy and young. To be honest I don’t think my mother will ever recover from this. Whenever I call her she always says why did it happen to Bernard?”

",https://t.co/esIprdi28y
Telegraph,Climate,The fight against global warming cannot wait ,https://t.co/0pSqy38PJE
Telegraph,Climate,Indian government said Myanmar citizens fleeing the deadly police crackdown should be 'politely turned away' ,https://t.co/rAUw9jOZyp
Guardian,Politics,Bullish Greens target 'lacklustre' Labour in May local elections ,https://t.co/iWMTmXSQNm
Guardian,Politics,How would a traffic light system for international travel work in the UK? ,https://t.co/iqNiCXrHza
Guardian,Politics,The Red Wall test: Labour fights to regain trust in its heartland ,https://t.co/O8Fbx8jZsY
Guardian,Politics,Keir Starmer: I’ll take my mask off and show why I should be prime minister ,https://t.co/0nPomHTeM5
Guardian,Politics,We have a once-in-a-generation chance to rethink our future. Let’s get Britain working again | Keir Starmer ,https://t.co/OT35ftYUVT
Guardian,Politics,Keir Starmer criticised over visit to church where pastor opposed same-sex marriage ,https://t.co/d3k8Paz05p
Guardian,Politics,Labour renews call for inquiry after further reports of lobbying by Cameron ,https://t.co/3JSSnU3UnL
Guardian,Politics,Unions warn ministers against rush to ditch masks in English schools ,https://t.co/tRR6caWXLa
Guardian,Politics,Brexit vote sparked surge in Irish passports issued in Great Britain ,https://t.co/aJ0YqNnAqz
Guardian,Politics,"Boris Johnson 'a clown' with no diplomacy skills, says ex-deputy in diaries ",https://t.co/9Zb361awBs
DailyMailUK,Politics,Nicola Sturgeon takes aim at Alex Salmond with attack on politicians 'who treat politics like a game' ,https://t.co/fKNuPaNP6z
FT,Politics,Mukesh Ambani bomb scare brings Mumbai’s dirty politics into the open ,https://t.co/pvaOdDH2Vd
FT,Politics,British politics is morphing from delusion into sleaze ,https://t.co/VwaeATalHq  | opinion
TheSun,Politics,Wine-lovers can help rid planet of plastic bottles with new tipple ,https://t.co/akzUrBdM8S
TheSun,Politics,Brits 'will need Covid tests or proof they're immune' to go to the pub ,https://t.co/MEslD8sYBe 
TheSun,Politics,Ministers use of secret 'Mission Impossible' texting app faces courtroom showdown ,https://t.co/TU6v5Epz3i
TheSun,Politics,"Army to lead battle to go green and will become even more efficient, top brass vow ",https://t.co/MwHBXzheWp
TheSun,Politics,Covid roadmap: All the key dates you need to know including holiday announcement next week ,https://t.co/KCMVqmdKth
TheSun,Politics,Brits CAN travel across the country to see friends and family - but overnight stays banned ,https://t.co/i80xF53Paq
